Foglalkoztatottak
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020

Budapest ;főváros, régió;766,0;745,9;752,9;775,9;784,9;809,1;833,3;870,3;873,5;863,5;874,3;878,4
Pest;megye, régió;504,6;501,4;508,0;513,1;526,4;547,9;561,4;584,6;597,9;618,9;636,7;644,3
Közép-Magyarország;nagyrégió;1 270,6;1 247,3;1 260,9;1 289,0;1 311,4;1 357,0;1 394,7;1 455,0;1 471,4;1 482,4;1 511,0;1 522,7
Fejér;megye;173,9;172,5;178,4;177,7;182,3;190,9;200,5;200,8;202,7;205,6;209,9;208,7
Komárom-Esztergom;megye;131,5;132,0;134,9;132,6;131,1;136,0;139,3;140,3;145,9;148,3;146,3;145,7
Veszprém;megye;143,7;142,1;146,2;146,1;148,6;157,3;160,9;163,4;167,6;163,2;164,0;164,9
Közép-Dunántúl;régió;449,2;446,6;459,5;456,5;462,1;484,2;500,7;504,5;516,3;517,0;520,2;519,3
Győr-Moson-Sopron;megye;192,8;193,1;191,9;196,4;203,2;214,6;217,2;223,7;230,4;237,3;241,4;242,9
Vas;megye;107,2;106,9;112,1;115,1;113,3;121,3;123,2;123,7;124,9;129,3;130,7;128,3
Zala;megye;120,1;114,8;119,7;117,4;117,4;122,3;122,0;126,2;129,5;130,1;131,0;127,4
Nyugat-Dunántúl;régió;420,1;414,9;423,7;429,0;433,9;458,3;462,5;473,7;484,8;496,7;503,1;498,6
Baranya ;megye;145,1;143,8;137,9;135,2;143,0;147,4;153,2;158,6;159,2;163,0;159,9;150,1
Somogy;megye;109,6;112,9;111,8;115,4;114,2;121,0;120,1;127,6;123,4;122,9;124,2;125,5
END
