Vas;Szombathely;16.62350;47.23472
Zala;Zalaegerszeg;16.84327;46.84325
Győr-Moson-Sopron;Győr;17.63877;47.68836
Veszprém;Veszprém;17.91102;47.09423
Somogy;Kaposvár;17.79109;46.35430
Csongrád-Csanád;Szeged;20.14801;46.25407
Békés;Békéscsaba;21.08667;46.67094
Komárom-Esztergom;Tatabánya;18.39923;47.57162
Fejér;Székesfehérvár;18.41413;47.19031
Tolna;Szekszárd;18.70068;46.34917
Baranya;Pécs;18.22826;46.06866
Pest;Budapest;19.04769;47.50599
Bács-Kiskun;Kecskemét;19.68672;46.90311
Jász-Nagykun-Szolnok;Szolnok;20.18470;47.17408
Nógrád;Salgótarján;19.80623;48.10183
Heves;Eger;20.37699;47.89717
Borsod-Abaúj-Zemplén;Miskolc;20.78870;48.10427
Hajdú-Bihar;Debrecen;21.62451;47.52482
Szabolcs-Szatmár-Bereg;Nyíregyháza;21.71722;47.95511
