6.2.1.6. A munkanélküliek száma (2000–) [ezer fõ];;;;;;;;;;;;;;;;;;;;;
Területi egység;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
neve;szintje;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;41,3;32,4;28,8;28,4;35,5;37,7;38,3;38,8;33,0;47,2;70,7;76,7;78,8;69,2;49,6;42,9;38,0;24,8;26,6;21,4
Pest ;megye, régió;23,1;20,7;20,1;22,3;22,8;29,7;28,7;23,5;25,8;37,1;45,8;41,6;50,6;50,6;36,8;32,7;17,8;15,4;13,6;15,0
Közép-Magyarország;nagyrégió;64,4;53,1;48,9;50,7;58,3;67,4;67,0;62,3;58,7;84,3;116,5;118,3;129,4;119,9;86,3;75,6;55,8;40,2;40,2;36,4
Fejér;megye;9,3;8,8;11,4;9,3;11,8;11,6;9,2;8,9;10,7;16,7;17,2;18,2;20,0;18,6;13,0;7,5;5,5;6,0;5,2;5,7
Komárom-Esztergom;megye;7,1;6,0;5,5;6,1;7,3;10,8;10,9;8,4;6,8;11,3;11,9;11,0;10,3;10,5;6,0;7,7;5,3;2,9;2,7;2,3
Veszprém;megye;6,3;5,7;7,2;7,5;7,9;8,5;9,6;6,6;10,5;15,5;18,7;17,2;18,1;13,6;8,6;7,5;4,5;2,5;3,3;2,2
Közép-Dunántúl;régió;22,7;20,5;24,1;22,9;27,0;30,9;29,7;24,0;28,0;43,5;47,8;46,4;48,4;42,7;27,5;22,7;15,3;11,4;11,3;10,2
Gyõr-Moson-Sopron;megye;8,2;7,9;7,6;6,4;7,2;8,4;8,8;7,3;7,1;13,0;14,0;12,2;10,9;11,2;6,4;6,2;4,5;3,7;3,3;2,7
Vas;megye;5,8;6,3;6,0;6,5;7,1;9,7;9,3;8,4;6,6;11,8;11,9;8,1;7,5;8,8;4,4;4,8;3,2;2,3;3,2;3,3
Zala;megye;5,0;4,4;4,7;7,6;6,3;8,7;8,2;7,3;8,4;14,0;15,1;12,0;15,4;14,9;10,4;6,8;4,9;5,7;3,4;2,8
